"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",35,"6",0,"1","1","5","1","2",3,1,0,0,"1",35,"1","5","1",14743.682904,5
"2",70,"3",0,"1","1","4","1","2",2,0,0,2,"2",70,"1","4","2",48194.233481,1.93
"1",59,"6",0,"2","2","5","1","1",3,0,1,0,"2",44,"2","5","1",16433.426266,1.82
"1",25,"4",0,"2","1","4","1","2",3,0,0,0,"2",51,"1","5","4",24511.409395,2.02
"1",39,"3",0,"1","1","4","1","2",3,0,0,1,"1",53,"1","3","3",16701.797849,0.61
"1",25,"3",0,"1","1","5","1","2",1,0,0,0,"1",25,"1","5","5",69362.260229,5
"1",59,"1",0,"2","2","1","2","2",2,0,0,0,"1",59,"2","1","4",17889.499441,0.03
"1",70,"6",0,"1","1","5","1","2",2,0,0,2,"1",70,"1","5","1",15855.011733,3.81
"1",24,"3",1,"1","1","4","1","2",5,2,1,0,"2",30,"1","2","6",31174.074739,0.65
"2",30,"3",0,"1","1","4","1","2",7,2,4,0,"2",30,"1","4","5",28884.38512,1.43
"2",71,"1",0,"2","2","1","2","2",1,0,0,1,"2",71,"2","1","2",15174.746412,0.87
"1",49,"4",0,"1","1","2","1","2",1,0,0,0,"1",49,"1","2","5",26355.014554,0.86
"1",73,"3",1,"1","1","4","1","2",2,0,0,2,"1",73,"1","4","1",59598.753457,5
"1",45,"3",0,"1","1","5","1","2",4,0,2,0,"1",45,"1","5","1",122492.425862,5
"1",29,"6",0,"2","2","3","1","1",3,1,0,0,"2",28,"2","3","1",17562.57913,0.87
"1",44,"3",0,"1","1","4","1","2",4,0,2,0,"2",38,"1","5","1",100857.701196,2.73
"2",61,"4",0,"1","1","4","1","2",2,0,0,2,"1",71,"1","5","1",13072.88574,5
"1",51,"3",1,"1","1","2","1","2",5,2,1,0,"1",51,"1","2","1",22004.084169,1.02
"1",64,"6",0,"2","1","5","1","2",2,0,0,1,"1",64,"2","5","1",21780.043291,5
"1",58,"3",0,"1","1","3","1","2",2,0,0,1,"2",68,"1","5","1",111416.034907,4.45
"1",54,"3",1,"1","1","5","1","2",3,0,0,0,"1",54,"1","5","1",90641.606893,5
