time,group,PCTPOV,POV,POP,RACE_NAME
1996,Asian,14.5,1454000,10050000,Asian and Pacific Islander
1996,Black,28.4,9694000,34110000,Black
1996,Hispanic,29.4,8697000,29610000,Hispanic (of any race)
1996,White,11.2,24650000,219700000,White
1997,All,13.3,35570000,268500000,All Races
1997,Asian,14,1468000,10480000,Asian and Pacific Islander
1997,Black,26.5,9116000,34460000,Black
1997,Hispanic,27.1,8308000,30640000,Hispanic (of any race)
1997,White,11,24400000,221200000,White
1998,All,12.7,34480000,271100000,All Races
1998,Asian,12.5,1360000,10870000,Asian and Pacific Islander
1998,Black,26.1,9091000,34880000,Black
1998,Hispanic,25.6,8070000,31520000,Hispanic (of any race)
1998,White,10.5,23450000,222800000,White
1999,All,11.9,32790000,276200000,All Races
1999,Asian,10.7,1285000,11960000,Asian and Pacific Islander
1999,Black,23.6,8441000,35760000,Black
1999,Hispanic,22.7,7876000,34630000,Hispanic (of any race)
1999,White,9.8,22170000,225400000,White
2000,All,11.3,31580000,278900000,All Races
2000,Asian,9.9,1258000,12670000,Asian and Pacific Islander
2000,Black,22.5,7982000,35430000,Black
2000,Hispanic,21.5,7747000,35960000,Hispanic (of any race)
2000,White,9.5,21650000,227800000,White
2001,All,11.7,32910000,281500000,All Races
2001,Asian,10.2,1275000,12470000,Asian and Pacific Islander
2001,Black,22.7,8136000,35870000,Black
2001,Hispanic,21.4,7997000,37310000,Hispanic (of any race)
2001,White,9.9,22740000,229700000,White
2002,All,12.1,34570000,285300000,All Races
2002,Asian,10.1,1161000,11540000,Asian Alone
2002,Black,24.1,8602000,35680000,Black Alone
2002,Hispanic,21.8,8555000,39220000,Hispanic (of any race)
2002,White,8,15570000,194100000,"White Alone, Not Hispanic"
2003,All,12.5,35860000,287700000,All Races
2003,Asian,11.8,1401000,11860000,Asian Alone
2003,Black,24.4,8781000,35990000,Black Alone
2003,Hispanic,22.5,9051000,40300000,Hispanic (of any race)
2003,White,8.2,15900000,194600000,"White Alone, Not Hispanic"
2004,All,12.7,37040000,290600000,All Races
2004,Asian,9.8,1201000,12230000,Asian Alone
2004,Black,24.7,9014000,36430000,Black Alone
2004,Hispanic,21.9,9122000,41690000,Hispanic (of any race)
2004,White,8.7,16910000,195100000,"White Alone, Not Hispanic"
2005,All,12.6,36950000,293100000,All Races
2005,Asian,11.1,1402000,12580000,Asian Alone
2005,Black,24.9,9168000,36800000,Black Alone
2005,Hispanic,21.8,9368000,43020000,Hispanic (of any race)
2005,White,8.3,16230000,195600000,"White Alone, Not Hispanic"
2006,All,12.3,36460000,296500000,All Races
