group,start_year,end_year,n_obs,lambda,d,arima,aicc,bic,sigma2,lb_stat,lb_pval,forecast_h
All,1959,2024,66,-0.9999242481629698,1,"ARIMA(1,1,0)",-538.2936209378561,-534.1383947851616,1.4094007381867005e-5,5.421958901462064,0.7960840385797475,5
White,1959,2024,66,0.10303910511004333,0,"ARIMA(2,0,0)",-156.80708872507813,-148.70420746189046,0.004779830661745169,10.848774611042872,0.14535277776509992,5
Black,1959,2018,60,-0.8705205800730593,1,"ARIMA(0,1,3)",-517.5908753244147,-508.3352635765843,7.975996777615912e-6,4.316647747754215,0.6339087816938682,5
Hispanic,1972,2024,53,1.6977026164874647,1,"ARIMA(0,1,0)",429.6787855569618,431.5500292755433,218.14887396199373,6.71633962983368,0.7519253204023819,5
Asian,1987,2024,38,0.8726708538158339,1,"ARIMA(0,1,0)",102.13645640120406,103.63308859956257,0.8740909501941414,6.859073953641802,0.7386788971163045,5
AIAN,2002,2024,23,-0.9999242481629698,1,"ARIMA(0,1,0)",-169.60460741656064,-168.71356496320232,2.380922846815027e-5,7.3433716613727436,0.6926793883092475,5
Two+,2002,2024,23,1.9999242481629698,0,"ARIMA(1,0,0)",213.98459053417739,216.12791528722798,484.2460762427133,10.708975119338302,0.2187404874180563,5
