"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",49,"6",0,"2","1","5","1","2",4,2,0,0,"1",49,"2","5","1",25524.499816,3.4
"1",45,"3",1,"1","1","4","1","2",2,0,0,0,"2",44,"1","5","5",22855.386414,1.63
"1",42,"4",0,"1","1","2","1","2",6,3,0,0,"1",42,"1","2","1",34060.314982,2.19
"1",80,"3",1,"1","1","5","1","2",1,0,0,1,"1",80,"1","5","2",41235.436372,5
"1",73,"3",1,"1","1","3","1","2",1,0,0,1,"1",73,"1","3","5",11017.775124,0.86
"1",80,"3",1,"1","1","3","1","2",2,0,0,2,"1",80,"1","3","1",31819.329646,1.78
"1",57,"1",0,"2","1","1","2","2",3,0,0,0,"1",32,"1","4","5",22251.652505,2.69
"1",63,"4",1,"1","1","4","1","2",1,0,0,1,"1",63,"1","4","4",16445.226661,1.29
"1",63,"3",1,"1","1","4","1","2",2,0,0,1,"1",63,"1","4","1",88531.364913,5
"1",80,"3",1,"1","1","4","1","2",2,0,0,2,"2",80,"1","3","1",27609.529867,1.39
"2",28,"2",0,"1","1","4","1","2",6,2,3,0,"2",28,"1","4","6",35194.786613,0.5
"1",27,"1",0,"2","2","1","2","2",5,2,1,0,"1",27,"2","1","6",32327.336211,0.64
"2",33,"4",0,"1","1","3","1","2",7,0,1,0,"2",57,"1","1","5",27973.203758,0.57
"2",51,"6",0,"2","2","4","1","2",3,0,0,0,"1",55,"2","5","1",23687.672227,3.03
"1",61,"4",0,"1","1","2","1","2",3,0,1,1,"1",61,"1","2","1",12290.824112,1.92
"1",32,"4",0,"1","1","5","1","2",1,0,0,0,"1",34,"1","5","3",26438.468888,5
"2",43,"2",0,"2","1","5","1","2",3,0,2,0,"2",43,"2","5","2",25833.628249,1.23
"2",51,"6",0,"2","2","1","1","2",6,1,0,0,"2",21,"2","4","5",11949.443084,0.5
"2",22,"4",0,"1","1","4","1","2",3,2,0,0,"2",22,"1","4","5",33399.668475,0.03
"2",51,"4",0,"1","1","2","1","2",2,0,0,1,"2",60,"1","4","1",34700.469555,1.53
"1",72,"3",0,"1","1","4","1","2",2,0,0,2,"1",72,"1","4","1",15838.41928,3.22
"1",77,"4",0,"1","1","3","1","2",2,0,0,2,"1",77,"1","3","1",9918.956424,1.93
"1",71,"3",1,"1","1","5","1","2",6,0,2,2,"1",71,"1","5","1",44731.686889,3.17
"2",46,"1",0,"2","2","2","1","2",4,1,0,0,"2",46,"2","2","3",35928.777397,0.84
"1",27,"3",0,"1","1","5","1","2",2,0,0,0,"1",27,"1","5","5",78135.833105,4.19
"1",60,"4",0,"1","1","3","1","2",2,0,0,1,"1",60,"1","3","3",16580.002221,3.74
"1",26,"3",0,"1","1","4","1","2",2,0,0,0,"1",26,"1","4","5",84378.552022,5
"1",46,"4",1,"2","1","5","1","2",1,0,0,0,"1",46,"2","5","1",38313.250912,5
"1",71,"3",1,"1","1","4","1","2",4,0,1,2,"1",71,"1","4","1",12268.903935,1.05
"1",22,"3",0,"1","1","5","1","2",1,0,0,0,"1",22,"1","5","5",27280.366961,0.87
"1",56,"3",0,"1","1","5","1","2",4,0,0,0,"2",56,"1","4","1",110860.206479,3.14
"1",77,"2",1,"2","1","3","2","2",1,0,0,1,"1",77,"2","3","3",8592.757185,0.86
"1",64,"2",1,"1","1","4","1","2",4,0,0,1,"2",44,"1","2","6",18440.651852,4.19
"1",73,"3",1,"2","1","5","1","2",2,0,0,2,"1",73,"2","5","1",10068.104389,3.87
"1",57,"6",0,"2","1","4","1","2",3,0,0,0,"2",55,"2","4","1",19000.187408,3.58
"2",29,"3",0,"1","1","5","1","2",1,0,0,0,"1",25,"1","5","5",68800.199978,5
"2",24,"3",0,"1","1","3","1","2",5,2,1,0,"1",23,"1","2","6",53002.973503,0.86
"1",28,"3",0,"1","1","4","1","2",1,0,0,0,"1",28,"1","4","6",108524.09729,5
"1",37,"6",0,"2","1","4","1","2",5,1,2,0,"1",37,"2","4","1",16285.52157,1.81
"1",63,"4",1,"1","1","4","1","2",3,0,0,1,"1",63,"1","4","1",7605.014062,3.69
"2",20,"3",0,"1","1","3","1","2",3,0,0,0,"1",24,"1","4","5",121187.390688,5
"1",80,"1",1,"1","1","1","1","2",2,0,0,2,"1",80,"1","1","1",15866.435364,1.42
"1",80,"3",1,"1","1","5","1","2",2,0,0,2,"2",80,"1","4","1",27937.28961,1.11
"2",50,"1",0,"1","1","2","1","2",3,0,0,1,"1",50,"1","2","1",30946.877696,3.33
"1",59,"4",1,"1","1","3","1","2",1,0,0,0,"1",59,"1","3","3",37242.723626,1.22
"1",80,"3",1,"1","1","5","1","2",2,0,0,2,"1",80,"1","5","1",22208.518877,5
"1",64,"3",1,"1","1","4","1","2",2,0,0,2,"2",66,"1","5","1",92638.425247,5
"1",80,"3",1,"1","1","1","1","2",2,0,0,2,"2",76,"1","2","1",16350.000948,2.23
"1",65,"3",1,"1","1","4","1","2",4,0,2,1,"1",42,"1","3","3",125871.876863,1.15
"1",65,"2",1,"2","1","4","1","2",2,0,0,2,"1",65,"2","4","1",13116.082602,1.93
"2",75,"3",0,"1","1","3","1","2",2,0,0,2,"1",77,"1","2","1",58195.593747,5
"2",23,"3",0,"1","1","4","1","2",1,0,0,0,"2",23,"1","4","5",43136.931152,0.56
"1",62,"3",0,"1","1","4","1","2",3,0,0,2,"1",62,"1","4","1",103274.266784,3.54
"2",40,"3",0,"1","1","4","1","2",4,2,0,0,"2",40,"1","4","1",27133.215826,1.23
"1",75,"1",0,"1","1","2","1","2",2,0,0,1,"1",75,"1","2","2",12031.533115,1.01
"1",66,"1",1,"1","1","5","1","2",6,1,1,2,"1",66,"1","5","1",11763.750951,2.82
"1",67,"3",1,"1","1","5","1","2",2,0,0,2,"1",63,"1","2","5",20324.469673,1.27
"1",64,"1",1,"1","1","4","1","2",2,0,0,2,"2",61,"1","4","1",20685.132899,3.87
"1",80,"3",1,"1","1","3","1","2",2,0,0,2,"1",80,"1","3","1",42071.929453,3.18
"2",46,"3",0,"1","1","3","1","2",4,0,3,0,"2",46,"1","3","3",27223.519705,1.26
"1",46,"4",1,"1","1","5","1","2",6,0,3,1,"2",44,"1","5","1",18311.002421,4.38
"1",75,"6",0,"2","2","1","1","1",2,0,0,2,"1",75,"2","1","1",8506.354691,0.85
"1",62,"3",1,"1","1","4","1","2",3,0,0,1,"1",62,"1","4","1",19444.719947,1.92
"1",66,"3",1,"1","1","3","1","2",2,0,0,2,"1",66,"1","3","1",100833.284956,4.05
"2",27,"1",0,"2","2","4","1","2",6,2,2,0,"1",36,"1","4","6",36550.650062,0.28
