"SEQN","RIDAGEYR","DMDHRAGE","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
77208,18,52,49473.083973,53091.579453,1,105,8,8,1.81
77209,24,59,20598.372687,0,1,118,4,4,0.81
77211,73,73,9964.586924,10222.261436,2,117,2,2,0.77
77212,80,80,32307.180593,33377.083466,2,107,6,4,1.39
77213,24,24,92282.126088,99590.388574,1,115,14,14,5
77214,12,45,23653.93808,23485.354327,2,108,6,6,0.88
77215,38,38,49350.716112,53188.852816,1,107,7,7,1.27
77216,1,33,11348.961171,11446.310367,1,111,3,3,0.34
77217,20,28,107644.698592,108149.181839,1,111,10,3,0.87
77218,5,19,20134.38431,20936.889633,1,111,14,14,2.66
77219,3,30,12487.495646,12926.016513,1,115,8,8,2.9
77220,25,25,25047.364318,25864.223694,2,110,2,2,0.34
77221,39,43,39326.824047,40267.041852,1,105,4,4,1.28
77222,7,43,24509.511202,30356.089738,1,105,5,5,1.02
77223,65,80,14919.94979,15102.376442,1,104,6,6,1.54
77224,22,48,66927.792276,70715.636862,2,104,15,15,4.3
77226,15,62,12290.288675,13993.994498,1,105,7,7,1.79
77227,4,27,39368.75166,40504.387183,2,107,10,10,2.22
77228,27,27,93527.379953,94689.38455,2,113,10,10,3.28
77229,48,48,20952.09579,20901.581919,1,108,15,15,4.82
77230,59,59,23745.154984,25032.040079,1,105,15,15,5
77231,0,31,12451.099782,13032.861954,1,116,14,14,4.1
77232,73,73,81484.448402,80438.74309,2,112,7,7,2.42
77233,1,23,9871.394111,10388.199234,2,105,8,8,1.79
77234,24,24,32227.910161,36384.509046,1,115,6,6,2.61
77235,32,32,17551.106895,18404.476964,2,104,7,7,2.23
77236,44,44,94342.602416,98026.339042,2,113,9,9,2.31
77237,21,21,26359.330998,30629.894841,2,114,1,1,0.13
77239,36,36,25475.030114,27273.704909,2,116,2,1,0.17
77240,35,35,70468.300651,71664.884557,2,115,7,7,1.25
77241,27,27,36342.699311,38695.980428,2,110,8,8,4.63
77242,7,28,6969.27798,6858.532976,1,108,3,3,0.32
77243,7,41,61361.817212,62163.763736,1,106,15,15,3.63
77244,42,39,34060.314982,34349.571841,2,113,15,15,2.49
77245,73,75,17284.67663,19412.524218,1,118,7,7,1.43
77246,68,68,11205.822068,11115.739019,1,105,4,4,1.57
77247,67,72,15174.746412,15514.923891,1,109,3,3,0.64
77248,22,22,20631.948782,23114.318197,1,118,9,6,2.61
77249,16,44,18575.776434,18168.361894,1,106,8,8,1.42
77250,78,78,13846.32795,13689.779365,1,109,8,8,2.12
77251,26,26,26359.330998,26891.692381,2,114,6,3,1.03
77252,12,36,16373.216575,16041.868638,1,110,6,6,1.72
77253,3,43,16549.502951,17621.036283,1,108,7,7,2.2
77254,36,36,20443.463002,20899.11415,2,110,15,15,5
77255,60,48,76307.450963,82754.046725,2,110,6,6,2.57
77256,30,28,13434.665874,14239.380193,2,105,6,6,1.2
77257,61,27,8018.502363,8149.392388,1,108,14,14,3.09
77258,4,33,12767.417352,13215.768173,2,111,3,3,0.36
77259,24,52,29164.438537,29252.819554,2,115,5,5,0.72
77260,53,53,21423.46123,0,2,118,7,7,2.42
77261,0,40,18109.304691,23693.601446,1,105,15,15,5
77262,19,50,12091.856435,11881.650896,1,117,9,9,2.59
77264,15,45,16347.70089,17177.989744,2,116,9,9,2.15
77265,41,45,23170.697014,22880.837643,2,114,15,15,4.07
77266,4,38,12755.572221,13374.346528,1,118,15,15,4.4
77267,17,48,13947.709122,0,2,111,15,15,5
77268,9,41,15512.564525,15999.9918,1,110,14,14,3.45
77269,19,43,58450.501283,58816.627825,1,108,15,15,3.37
77270,11,39,6909.271068,7316.778456,1,108,14,14,3.84
77271,16,41,25309.32538,25923.903593,1,104,1,1,0
77272,3,30,12743.978347,12990.602163,2,116,4,4,0.77
77273,5,40,7572.059876,7968.486083,2,104,7,7,2.54
77274,8,28,9140.149336,8994.908196,2,116,2,2,0.29
77275,60,34,10396.241664,10348.04549,2,108,14,14,3.22
77276,2,40,35884.250263,40776.665009,2,115,15,15,4.61
77277,53,53,112131.461865,115870.646612,1,113,5,5,0.98
77278,4,37,48503.280594,51980.741732,1,110,15,15,5
77279,38,39,107737.369017,110455.135268,1,105,15,15,4.9
77280,42,34,73112.943088,75480.460116,1,105,14,14,5
77281,13,34,37607.854063,40176.850656,2,109,1,1,0.09
77283,46,51,15678.906543,0,2,110,15,15,5
77284,65,64,108382.755385,112505.76876,1,113,9,9,3.93
77285,29,29,24410.976201,24823.085613,2,114,3,3,0.42
77286,4,26,15442.192849,16057.67936,1,115,1,1,0.13
77287,53,53,15511.614249,16781.385653,2,107,15,15,4.84
77288,0,56,5272.217408,5644.015633,1,114,3,3,0.41
77289,24,43,20846.836154,21079.18217,1,112,4,4,0.92
77290,44,44,31782.111792,32029.817243,1,111,4,4,1.31
77291,42,42,95624.260479,100645.525662,1,113,2,2,0.39
77293,5,68,16198.000356,16401.576041,1,109,5,5,0.63
77294,12,36,10201.862471,9901.276854,1,117,4,4,0.65
77295,30,51,21527.63823,23151.627241,2,114,10,10,2.94
77296,0,25,7683.788305,8022.937062,1,115,5,5,0.93
77297,5,32,15334.846455,15873.357166,2,111,1,1,0.03
77298,63,63,22785.070298,22874.919269,2,106,6,6,2.14
77299,67,63,15827.313182,15965.889113,2,116,9,9,4.07
77301,7,33,13355.718826,13787.91105,1,106,8,8,1.34
77302,23,23,74931.34454,76723.059685,2,105,6,6,2.74
77303,60,55,18497.855373,18532.246838,2,116,7,7,2.67
77304,21,22,86780.663669,87979.262221,1,110,2,2,0.26
77305,58,58,29756.246062,31791.327708,2,107,2,2,0.83
77306,73,57,6088.046635,6187.424866,2,104,15,15,4.16
77307,4,30,8812.064887,9121.516393,1,109,5,5,0.76
